source,reason,evidence,confidence,needs_confirm,note
org.mybatis.jpetstore.web.actions.OrderActionBean#newOrderForm,セッション属性キー"/actions/Cart.action"および"/actions/Account.action"の実際の登録タイミング・登録コードがStripesフレームワーク内部実装に依存しており、ソースコードから静的に追跡不可,src/main/java/org/mybatis/jpetstore/web/actions/OrderActionBean.java:109 and :122,inferred,yes,StripesのSessionScopeがどのキーでBeanをセッションに格納するかはStripes実装依存。viewOrder()ではキー"accountBean"を使用しており（:174）、newOrderForm/newOrderでは"/actions/Account.action"キーを使用しており、同一Beanを指す可能性あり。動作確認が必要
org.mybatis.jpetstore.domain.Order#initOrder,Order.initOrderメソッドがCartとAccountを受け取ってOrderを初期化する処理の詳細を追っていない（Orderクラスの後半部分を省略読み込みのため）,src/main/java/org/mybatis/jpetstore/web/actions/OrderActionBean.java:129,inferred,yes,Order.javaは335行あるが前半80行のみ読み込み。initOrderメソッドの中でCartItemsをLineItemsに変換するロジックがある可能性があり、Cart→Order間のデータフロー依存が未確認
src/main/webapp/WEB-INF/jsp/cart/IncludeMyList.jsp,このJSPファイルはCart.jspからインクルードされるが、中身を未読のため内部のbeanclass参照・taglib利用・EL式依存の詳細が未確認,src/main/webapp/WEB-INF/jsp/cart/Cart.jsp:96,inferred,no,表示条件（accountBean.authenticated==false かつ listOption!=emptyの場合のみ）から補助的な部品と考えられるが、内部のActionBean参照は不明
src/main/webapp/WEB-INF/jsp/account/EditAccountForm.jsp,IncludeAccountFields.jspとの関係および内部のActionBean参照を未読のため詳細依存が未確認,src/main/webapp/WEB-INF/jsp/account/EditAccountForm.jsp,inferred,no,layer-mapにはEditAccountFormJSP 48行・IncludeAccountFields 87行が記録されているが、依存先の詳細は未読
src/main/webapp/WEB-INF/jsp/account/IncludeAccountFields.jsp,共通フォーム部品JSPだが内部のstripes:select等で参照するActionBeanのプロパティ（languages・categories等）が固有依存となる可能性あり,src/main/webapp/WEB-INF/jsp/account/IncludeAccountFields.jsp,inferred,no,AccountActionBean.getLanguages()/getCategories()への依存が静的インクルードで伝播する可能性
src/main/webapp/WEB-INF/jsp/catalog/Category.jsp,JSP内容未読のため内部依存詳細が未確認,src/main/webapp/WEB-INF/jsp/catalog/Category.jsp,inferred,no,layer-mapには50行のJSPとして記録。CatalogActionBeanへの参照が想定される
src/main/webapp/WEB-INF/jsp/catalog/Product.jsp,JSP内容未読のため内部依存詳細が未確認,src/main/webapp/WEB-INF/jsp/catalog/Product.jsp,inferred,no,layer-mapには77行のJSP。CatalogActionBeanおよびItemへの参照が想定される
src/main/webapp/WEB-INF/jsp/catalog/Item.jsp,JSP内容未読のため内部依存詳細が未確認,src/main/webapp/WEB-INF/jsp/catalog/Item.jsp,inferred,no,layer-mapには72行のJSP。CatalogActionBeanおよびCartActionBeanへのリンクが想定される
src/main/webapp/WEB-INF/jsp/catalog/SearchProducts.jsp,JSP内容未読のため内部依存詳細が未確認,src/main/webapp/WEB-INF/jsp/catalog/SearchProducts.jsp,inferred,no,layer-mapには62行のJSP。CatalogActionBeanへの参照が想定される
src/main/webapp/WEB-INF/jsp/order/ConfirmOrder.jsp,JSP内容未読のため内部依存詳細が未確認,src/main/webapp/WEB-INF/jsp/order/ConfirmOrder.jsp,inferred,no,layer-mapには122行のJSP。OrderActionBeanへの参照が想定される
src/main/webapp/WEB-INF/jsp/order/ShippingForm.jsp,JSP内容未読のため内部依存詳細が未確認,src/main/webapp/WEB-INF/jsp/order/ShippingForm.jsp,inferred,no,layer-mapには68行のJSP。OrderActionBeanへの参照が想定される
src/main/webapp/WEB-INF/jsp/order/ListOrders.jsp,JSP内容未読のため内部依存詳細が未確認,src/main/webapp/WEB-INF/jsp/order/ListOrders.jsp,inferred,no,layer-mapには47行のJSP。OrderActionBeanへの参照が想定される
src/main/webapp/WEB-INF/jsp/order/ViewOrder.jsp,JSP内容未読のため内部依存詳細が未確認,src/main/webapp/WEB-INF/jsp/order/ViewOrder.jsp,inferred,no,layer-mapには173行のJSP。OrderActionBeanおよびLineItemへの参照が想定される
src/main/webapp/WEB-INF/beans.xml,CDI beans.xml はresin用設定とされているが、他のAPサーバ（Tomcat等）でどのように処理されるか（無視されるか、CDIを有効にするか）がソースから判断不可,src/main/webapp/WEB-INF/beans.xml,inferred,yes,pom.xmlのresinプロファイルでpackagingExcludesとして除外設定あり。本番環境がresinでないTomcatの場合はCDIの有無が動作に影響しうる
net.sourceforge.stripes:stripes:1.6.0,StripesはJava EE/javax名前空間を前提としており、Jakarta EE（jakarta.*）への対応状況が不明。spring-webが5.3.xに固定されている点と合わせて移行時の互換性が追えない,pom.xml:111,inferred,yes,Stripes 1.6.0はメンテナンス状況が不明確。spring-web 5.3.xからjakarta対応版への切り替え時にStripes側の互換性が課題となる
